source,sourceScore,hr,ro,zh,ca,vi,no,hu,nn,lv,te,lt,hi,ga,th,id,bn,de,fi,ta,bg,sv,ka,fr,hy,sl,sk,da,uk,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pl,pt,en,ru,et,es,nl,ja,
lo,0.27,0.17,0.27,0.38,0.34,0.37,0.21,0.28,0.15,0.22,0.24,0.3,0.38,0.15,0.29,0.3,0.28,0.25,0.24,0.29,0.33,0.26,0.19,0.27,0.21,0.22,0.15,0.23,0.21,0.2,0.16,0.26,0.26,0.17,0.48,0.44,0.44,0.45,0.22,0.25,0.25,0.19,0.27,0.14,0.34,0.17,0.29,0.2,0.46,
jv,0.44,0.37,0.63,0.68,0.73,0.63,0.62,0.6,0.31,0.63,0.48,0.71,0.81,0.47,0.66,0.53,0.6,0.66,0.57,0.51,0.86,0.61,0.45,0.59,0.57,0.52,0.35,0.57,0.47,0.54,0.14,0.62,0.55,0.45,0.81,0.74,0.82,0.84,0.43,0.62,0.65,0.61,0.7,0.51,0.76,0.44,0.7,0.54,0.76,
tl,0.26,0.12,0.63,0.74,0.67,0.5,0.53,0.52,0.27,0.6,0.32,0.66,0.76,0.35,0.67,0.7,0.55,0.36,0.58,0.38,0.79,0.56,0.49,0.61,0.55,0.28,0.17,0.59,0.49,0.45,0.18,0.44,0.34,0.44,0.84,0.75,0.6,0.84,0.41,0.53,0.58,0.58,0.65,0.22,0.64,0.35,0.64,0.52,0.58,
ht,0.07,0.24,0.43,0.5,0.55,0.41,0.48,0.34,0.35,0.49,0.45,0.47,0.56,0.3,0.48,0.51,0.49,0.37,0.37,0.38,0.41,0.38,0.33,0.45,0.39,0.25,0.1,0.46,0.25,0.43,0.3,0.44,0.25,0.26,0.59,0.51,0.62,0.55,0.22,0.47,0.41,0.37,0.46,0.42,0.48,0.26,0.47,0.34,0.53,
tg,0.22,0.15,0.21,0.26,0.24,0.26,0.18,0.22,0.19,0.2,0.15,0.17,0.32,0.1,0.28,0.21,0.21,0.24,0.15,0.24,0.27,0.18,0.14,0.17,0.13,0.18,0.15,0.19,0.19,0.13,0.12,0.18,0.19,0.14,0.35,0.38,0.34,0.32,0.21,0.2,0.19,0.15,0.16,0.11,0.19,0.14,0.17,0.15,0.35,
ny,0.1,0.32,0.58,0.57,0.62,0.54,0.51,0.55,0.27,0.56,0.42,0.54,0.64,0.39,0.58,0.68,0.57,0.49,0.5,0.33,0.7,0.57,0.43,0.5,0.52,0.58,0.35,0.41,0.43,0.46,0.21,0.5,0.49,0.52,0.57,0.73,0.75,0.73,0.51,0.48,0.55,0.53,0.59,0.56,0.63,0.43,0.6,0.47,0.7,
bs,0.36,0.09,0.52,0.61,0.6,0.6,0.52,0.39,0.37,0.52,0.44,0.54,0.61,0.4,0.57,0.58,0.56,0.45,0.43,0.39,0.59,0.51,0.42,0.49,0.46,0.37,0.35,0.54,0.31,0.44,0.31,0.46,0.17,0.43,0.69,0.63,0.68,0.75,0.37,0.49,0.51,0.41,0.51,0.4,0.58,0.38,0.54,0.41,0.63,
uz,0.4,0.41,0.65,0.67,0.76,0.63,0.59,0.63,0.41,0.59,0.47,0.66,0.67,0.47,0.63,0.7,0.63,0.59,0.52,0.48,0.76,0.63,0.45,0.63,0.55,0.61,0.42,0.57,0.42,0.53,0.21,0.56,0.47,0.52,0.78,0.7,0.79,0.77,0.46,0.6,0.59,0.56,0.67,0.63,0.71,0.54,0.7,0.55,0.68,
ig,0.12,0.07,0.36,0.32,0.49,0.48,0.31,0.33,0.13,0.31,0.36,0.33,0.44,0.22,0.44,0.43,0.39,0.34,0.22,0.31,0.44,0.29,0.18,0.29,0.19,0.06,0.08,0.33,0.27,0.3,0.08,0.31,0.13,0.23,0.5,0.46,0.57,0.63,0.2,0.26,0.31,0.24,0.31,0.17,0.3,0.21,0.33,0.21,0.34,
zu,0.15,0.44,0.66,0.71,0.71,0.6,0.57,0.63,0.24,0.66,0.46,0.7,0.78,0.36,0.72,0.73,0.62,0.63,0.57,0.5,0.76,0.64,0.45,0.65,0.58,0.55,0.41,0.54,0.43,0.54,0.24,0.6,0.62,0.5,0.82,0.78,0.79,0.86,0.5,0.58,0.65,0.61,0.68,0.56,0.69,0.49,0.69,0.54,0.77,
su,0.36,0.4,0.58,0.64,0.64,0.63,0.54,0.54,0.31,0.61,0.46,0.63,0.75,0.43,0.68,0.47,0.56,0.59,0.49,0.49,0.78,0.59,0.49,0.67,0.53,0.46,0.39,0.55,0.39,0.47,0.26,0.56,0.54,0.33,0.78,0.71,0.76,0.82,0.5,0.58,0.54,0.54,0.65,0.51,0.7,0.53,0.67,0.53,0.74,
mg,0.07,0.33,0.57,0.61,0.67,0.56,0.49,0.45,0.25,0.55,0.4,0.55,0.69,0.44,0.59,0.61,0.55,0.51,0.46,0.45,0.7,0.55,0.48,0.59,0.5,0.49,0.27,0.42,0.36,0.46,0.15,0.56,0.49,0.53,0.67,0.68,0.73,0.65,0.38,0.49,0.55,0.53,0.58,0.49,0.62,0.42,0.59,0.42,0.71,
st,0.03,0.15,0.55,0.57,0.47,0.57,0.46,0.37,0.21,0.51,0.41,0.49,0.62,0.29,0.55,0.56,0.49,0.3,0.37,0.39,0.57,0.41,0.4,0.39,0.41,0.37,0.25,0.37,0.25,0.29,0.31,0.38,0.39,0.44,0.66,0.55,0.7,0.65,0.28,0.5,0.47,0.32,0.36,0.3,0.45,0.32,0.46,0.3,0.54,
mk,0.36,0.12,0.17,0.21,0.19,0.15,0.15,0.14,0.19,0.16,0.16,0.13,0.14,0.1,0.18,0.14,0.15,0.21,0.09,0.2,0.16,0.15,0.1,0.14,0.13,0.16,0.12,0.15,0.14,0.13,0.14,0.13,0.15,0.1,0.23,0.22,0.25,0.21,0.15,0.15,0.13,0.06,0.13,0.1,0.14,0.14,0.15,0.15,0.24,
ml,0.32,0.12,0.18,0.18,0.22,0.18,0.18,0.14,0.13,0.15,0.1,0.14,0.11,0.11,0.18,0.17,0.12,0.13,0.15,0.14,0.18,0.14,0.08,0.1,0.1,0.18,0.11,0.14,0.15,0.13,0.09,0.13,0.12,0.13,0.27,0.22,0.2,0.17,0.13,0.14,0.16,0.11,0.08,0.1,0.16,0.14,0.13,0.14,0.25,
sw,0.21,0.28,0.66,0.66,0.63,0.55,0.59,0.65,0.26,0.65,0.42,0.63,0.75,0.41,0.61,0.7,0.51,0.55,0.51,0.43,0.74,0.62,0.47,0.61,0.51,0.41,0.36,0.58,0.4,0.51,0.23,0.62,0.55,0.45,0.73,0.73,0.75,0.81,0.45,0.63,0.59,0.57,0.67,0.54,0.7,0.51,0.65,0.45,0.72,
mi,0.07,0.1,0.37,0.46,0.44,0.36,0.39,0.28,0.17,0.45,0.39,0.41,0.53,0.05,0.43,0.33,0.32,0.28,0.21,0.23,0.26,0.26,0.24,0.21,0.28,0.22,0.16,0.41,0.19,0.3,0.27,0.28,0.08,0.32,0.52,0.27,0.41,0.41,0.18,0.22,0.33,0.19,0.21,0.13,0.27,0.18,0.27,0.18,0.45,
be,0.22,0.15,0.14,0.21,0.18,0.17,0.18,0.14,0.15,0.15,0.19,0.14,0.22,0.13,0.24,0.16,0.17,0.16,0.14,0.18,0.22,0.19,0.09,0.19,0.15,0.19,0.1,0.15,0.12,0.14,0.15,0.14,0.17,0.1,0.3,0.29,0.29,0.26,0.17,0.16,0.15,0.11,0.16,0.14,0.08,0.16,0.17,0.17,0.29,
mn,0.46,0.16,0.16,0.26,0.22,0.19,0.23,0.18,0.22,0.17,0.2,0.16,0.23,0.13,0.26,0.21,0.22,0.24,0.15,0.22,0.27,0.2,0.12,0.19,0.13,0.19,0.13,0.18,0.16,0.15,0.16,0.18,0.19,0.15,0.33,0.32,0.32,0.29,0.2,0.15,0.18,0.1,0.16,0.12,0.19,0.15,0.16,0.16,0.33,
is,0.35,0.17,0.35,0.29,0.43,0.39,0.37,0.27,0.16,0.29,0.29,0.36,0.42,0.27,0.4,0.33,0.35,0.29,0.21,0.24,0.33,0.31,0.3,0.29,0.25,0.23,0.13,0.28,0.21,0.28,0.21,0.28,0.23,0.23,0.45,0.35,0.56,0.45,0.22,0.4,0.27,0.28,0.33,0.23,0.31,0.2,0.36,0.19,0.45,
