source,sourceScore,hr,ro,zh,ca,vi,no,hu,nn,lv,te,lt,hi,ga,th,id,bn,de,fi,ta,bg,sv,ka,fr,hy,sl,sk,da,uk,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pl,pt,en,ru,et,es,nl,ja,
mg,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
st,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
mk,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
ml,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
sw,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
mi,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
be,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
mn,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
is,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
mo,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
mr,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
so,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
mt,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
sq,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
ur,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
cy,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
kk,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
my,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
km,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
si,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
ha,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
kn,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
pa,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
ne,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
yo,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
gu,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
yi,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
af,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,822868.0,683220.0,258019.0,197083.0,123451.0,311098.0,179131.0,50484.0,327294.0,802043.0,262711.0,3653951.0,728937.0,146032.0,377182.0,3637679.0,195137.0,3740554.0,510421.0,285550.0,353298.0,419200.0,1265197.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1754291.0,1987508.0,1.5E7,3395378.0,273035.0,3165178.0,2655623.0,1970771.0,
